,hotel_link,hotel_link-href,review_count,hotel_name
1041,Adhi Jaya Sunset Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d2549430-Reviews-or5-Adhi_Jaya_Sunset_Hotel-Kuta_Kuta_District_Bali.html,154,adhi_jaya_sunse
1042,Pondok Baruna Garden Rooms,https://www.tripadvisor.co.id/Hotel_Review-g1137831-d659407-Reviews-or5-Pondok_Baruna_Garden_Rooms-Nusa_Lembongan_Bali.html,141,pondok_baruna_g
1046,The Gong,https://www.tripadvisor.co.id/Hotel_Review-g1380108-d801354-Reviews-or5-The_Gong-Pecatu_Bukit_Peninsula_Bali.html,108,the_gong
1055,Puri Bunga Resort and Spa,https://www.tripadvisor.co.id/Hotel_Review-g297701-d309324-Reviews-or5-Puri_Bunga_Resort_and_Spa-Ubud_Gianyar_Regency_Bali.html,228,puri_bunga_reso
1064,Sahadewa Resort & Spa,https://www.tripadvisor.co.id/Hotel_Review-g297701-d584499-Reviews-or5-Sahadewa_Resort_Spa-Ubud_Gianyar_Regency_Bali.html,188,sahadewa_resort
1080,Sense Canggu Beach Hotel,https://www.tripadvisor.co.id/Hotel_Review-g311298-d12987676-Reviews-or5-Sense_Canggu_Beach_Hotel-Canggu_North_Kuta_Bali.html,136,sense_canggu_be
1098,Parahita Kampung Ubud,https://www.tripadvisor.co.id/Hotel_Review-g297701-d6963033-Reviews-or5-Parahita_Kampung_Ubud-Ubud_Gianyar_Regency_Bali.html,123,parahita_kampun
1114,Gunung Merta Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d2071515-Reviews-or5-Gunung_Merta_Bungalows-Ubud_Gianyar_Regency_Bali.html,100,gunung_merta_bu
1119,Handara Golf & Resort Bali,https://www.tripadvisor.co.id/Hotel_Review-g297699-d5602529-Reviews-or5-Handara_Golf_Resort_Bali-Singaraja_Buleleng_District_Buleleng_Regency_Bali.html,146,handara_golf__r
1121,Mumbul Guesthouse,https://www.tripadvisor.co.id/Hotel_Review-g1600236-d2011105-Reviews-or5-Mumbul_Guesthouse-Anturan_Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali.html,108,mumbul_guesthou
